participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,return,0.1278,,,,,,,,,,,,,,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,return,8.5767,,,,,,,,,,,,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,return,1.7976,,,,,,,,,,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,return,33.8732,,,,,,,,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,0,0,0,2,1,estimulos/3.wav,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,2,0,1,1,0,1,estimulos/1.wav,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,0,2,2,3,1,estimulos/4.wav,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,0,3,3,1,1,estimulos/2.wav,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,0,4,4,5,1,estimulos/6.wav,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,0,5,5,4,1,estimulos/5.wav,,,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,return,2.9024,,,,,,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,,,,,,estimulos/3.wav,,,0,0,0,2,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,2,,,,,,estimulos/1.wav,,,0,1,1,0,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,,,,,,estimulos/4.wav,,,0,2,2,3,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,,,,,,estimulos/2.wav,,,0,3,3,1,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,,,,,,estimulos/5.wav,,,0,4,4,4,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,,,,,,estimulos/6.wav,,,0,5,5,5,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,6,,,,,,estimulos/6.wav,,,1,0,6,5,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,,,,,,estimulos/4.wav,,,1,1,7,3,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,,,,,,estimulos/3.wav,,,1,2,8,2,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,,,,,,estimulos/2.wav,,,1,3,9,1,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,,,,,,estimulos/5.wav,,,1,4,10,4,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,2,,,,,,estimulos/1.wav,,,1,5,11,0,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,,,,,,estimulos/2.wav,,,2,0,12,1,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,,,,,,estimulos/3.wav,,,2,1,13,2,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,1,,,,,,estimulos/1.wav,,,2,2,14,0,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,,,,,,estimulos/5.wav,,,2,3,15,4,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,6,,,,,,estimulos/6.wav,,,2,4,16,5,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,,,,,,estimulos/4.wav,,,2,5,17,3,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,,,,,,estimulos/4.wav,,,3,0,18,3,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,,,,,,estimulos/2.wav,,,3,1,19,1,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,,,,,,estimulos/3.wav,,,3,2,20,2,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,,,,,,estimulos/6.wav,,,3,3,21,5,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,,,,,,estimulos/5.wav,,,3,4,22,4,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,1,,,,,,estimulos/1.wav,,,3,5,23,0,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,,,,,,estimulos/5.wav,,,4,0,24,4,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,2,,,,,,estimulos/2.wav,,,4,1,25,1,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,,,,,,estimulos/4.wav,,,4,2,26,3,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,,,,,,estimulos/3.wav,,,4,3,27,2,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,2,,,,,,estimulos/1.wav,,,4,4,28,0,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,6,,,,,,estimulos/6.wav,,,4,5,29,5,1,066
Romero Cifuentes David Santiago,001,2025-11-13_21h46.58.164,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,066
