"subject","trial","target_distance","perc_distance","condition"
1,1,5,4,"CE"
1,2,3,3,"CE"
1,3,6,4,"CE"
1,4,1,2,"CE"
1,5,2,4,"CE"
1,6,4,5,"CE"
1,7,3,4,"CE"
1,8,6,5,"CE"
1,9,5,4,"CE"
1,10,1,1,"CE"
1,11,2,3,"CE"
1,12,4,4,"CE"
1,13,4,3,"CE"
1,14,2,2,"CE"
1,15,6,5,"CE"
1,16,5,4,"CE"
1,17,3,3,"CE"
1,18,1,1,"CE"
1,19,2,3,"CE"
1,20,6,5,"CE"
1,21,4,4,"CE"
1,22,1,2,"CE"
1,23,3,4,"CE"
1,24,5,4,"CE"
1,25,4,4,"CE"
1,26,3,3,"CE"
1,27,1,1,"CE"
1,28,6,5,"CE"
1,29,5,5,"CE"
1,30,2,3,"CE"
2,1,1,1,"CE"
2,2,3,15,"CE"
2,3,4,20,"CE"
2,4,5,25,"CE"
2,5,2,20,"CE"
2,6,6,30,"CE"
2,7,4,35,"CE"
2,8,3,25,"CE"
2,9,1,10,"CE"
2,10,6,40,"CE"
2,11,5,35,"CE"
2,12,2,15,"CE"
2,13,1,10,"CE"
2,14,4,30,"CE"
2,15,6,35,"CE"
2,16,3,30,"CE"
2,17,5,40,"CE"
2,18,2,30,"CE"
2,19,4,45,"CE"
2,20,1,10,"CE"
2,21,5,45,"CE"
2,22,6,30,"CE"
2,23,3,20,"CE"
2,24,2,20,"CE"
2,25,3,30,"CE"
2,26,5,35,"CE"
2,27,4,40,"CE"
2,28,2,15,"CE"
2,29,6,5,"CE"
2,30,1,10,"CE"
3,1,2,1.75,"CE"
3,2,1,1,"CE"
3,3,6,2.5,"CE"
3,4,3,2,"CE"
3,5,5,3,"CE"
3,6,4,3.5,"CE"
3,7,4,3.5,"CE"
3,8,3,3.5,"CE"
3,9,6,2,"CE"
3,10,2,1.75,"CE"
3,11,1,1.5,"CE"
3,12,5,2,"CE"
3,13,5,2.1,"CE"
3,14,2,2,"CE"
3,15,3,2,"CE"
3,16,4,2.5,"CE"
3,17,1,1.5,"CE"
3,18,6,2.7,"CE"
3,19,1,1.5,"CE"
