"sujeto" "trial" "distancia" "respuesta"
"S001" 1 5 4
"S001" 2 3 3
"S001" 3 6 4
"S001" 4 1 2
"S001" 5 2 4
"S001" 6 4 5
"S001" 7 3 4
"S001" 8 6 5
"S001" 9 5 4
"S001" 10 1 1
"S001" 11 2 3
"S001" 12 4 4
"S001" 13 4 3
"S001" 14 2 2
"S001" 15 6 5
"S001" 16 5 4
"S001" 17 3 3
"S001" 18 1 1
"S001" 19 2 3
"S001" 20 6 5
"S001" 21 4 4
"S001" 22 1 2
"S001" 23 3 4
"S001" 24 5 4
"S001" 25 4 4
"S001" 26 3 3
"S001" 27 1 1
"S001" 28 6 5
"S001" 29 5 5
"S001" 30 2 3
"S002" 1 1 1
"S002" 2 3 15
"S002" 3 4 20
"S002" 4 5 25
"S002" 5 2 20
"S002" 6 6 30
"S002" 7 4 35
"S002" 8 3 25
"S002" 9 1 10
"S002" 10 6 40
"S002" 11 5 35
"S002" 12 2 15
"S002" 13 1 10
"S002" 14 4 30
"S002" 15 6 35
"S002" 16 3 30
"S002" 17 5 40
"S002" 18 2 30
"S002" 19 4 45
"S002" 20 1 10
"S002" 21 5 45
"S002" 22 6 30
"S002" 23 3 20
"S002" 24 2 20
"S002" 25 3 30
"S002" 26 5 35
"S002" 27 4 40
"S002" 28 2 15
"S002" 29 6 5
"S002" 30 1 10
"S003" 1 2 1.75
"S003" 2 1 1
"S003" 3 6 2.5
"S003" 4 3 2
"S003" 5 5 3
"S003" 6 4 3.5
"S003" 7 4 3.5
"S003" 8 3 3.5
"S003" 9 6 2
"S003" 10 2 1.75
"S003" 11 1 1.5
"S003" 12 5 2
"S003" 13 5 2.1
"S003" 14 2 2
"S003" 15 3 2
"S003" 16 4 2.5
"S003" 17 1 1.5
"S003" 18 6 2.7
"S003" 19 1 1.5
"S003" 20 6 3
"S003" 21 4 3.25
"S003" 22 5 2.5
"S003" 23 3 2.75
"S003" 24 2 2
"S003" 25 6 3
"S003" 26 2 2
"S003" 27 5 2.25
"S003" 28 1 1.75
"S003" 29 4 2
"S003" 30 3 2.25
"S004" 1 3 4
"S004" 2 1 2
"S004" 3 5 6
"S004" 4 2 3
"S004" 5 4 9
"S004" 6 6 10
"S004" 7 2 4
"S004" 8 4 6
"S004" 9 5 7
"S004" 10 3 5
"S004" 11 6 10
"S004" 12 1 1
"S004" 13 2 4
"S004" 14 5 8
"S004" 15 1 1
"S004" 16 3 6
"S004" 17 4 8
"S004" 18 6 10
"S004" 19 4 6
"S004" 20 2 4
"S004" 21 3 4
"S004" 22 5 6
"S004" 23 6 10
"S004" 24 1 1
"S004" 25 4 6
"S004" 26 2 3
"S004" 27 3 6
"S004" 28 5 8
"S004" 29 6 6
"S004" 30 1 1
"S005" 1 6 2
"S005" 2 4 2
"S005" 3 1 1
"S005" 4 2 2
"S005" 5 3 3
"S005" 6 5 3
"S005" 7 1 2
"S005" 8 2 2
"S005" 9 4 2
"S005" 10 3 2
"S005" 11 6 3
"S005" 12 5 3
"S005" 13 6 2
"S005" 14 5 2
"S005" 15 3 3
"S005" 16 1 1
"S005" 17 2 2
"S005" 18 4 3
"S005" 19 3 2
"S005" 20 6 3
"S005" 21 1 1
"S005" 22 5 3
"S005" 23 4 2
"S005" 24 2 3
"S005" 25 3 3
"S005" 26 2 2
"S005" 27 1 1
"S005" 28 4 2
"S005" 29 5 3
"S005" 30 6 3
"S006" 1 5 1
"S006" 2 2 0.5
"S006" 3 4 1
"S006" 4 1 0.5
"S006" 5 3 2
"S006" 6 6 2
"S006" 7 2 1
"S006" 8 1 0.5
