participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,return,44.5935,,,,,,,,,,,,,,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,return,14.6441,,,,,,,,,,,,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,return,7.2978,,,,,,,,,,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,return,10.2875,,,,,,,,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,2,0,0,0,1,1,estimulos/2.wav,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,5,0,1,1,2,1,estimulos/3.wav,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,2,0,2,2,0,1,estimulos/1.wav,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,6,0,3,3,4,1,estimulos/5.wav,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,4,0,4,4,3,1,estimulos/4.wav,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,10,0,5,5,5,1,estimulos/6.wav,,,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,,,,,,,,return,3.0566,,,,,,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,7,,,,,,estimulos/3.wav,,,0,0,0,2,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,8,,,,,,estimulos/6.wav,,,0,1,1,5,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,3,,,,,,estimulos/1.wav,,,0,2,2,0,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,6,,,,,,estimulos/2.wav,,,0,3,3,1,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,8,,,,,,estimulos/5.wav,,,0,4,4,4,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,7,,,,,,estimulos/4.wav,,,0,5,5,3,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,3,,,,,,estimulos/1.wav,,,1,0,6,0,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,5,,,,,,estimulos/3.wav,,,1,1,7,2,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,7,,,,,,estimulos/4.wav,,,1,2,8,3,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,5,,,,,,estimulos/2.wav,,,1,3,9,1,1,067
Rua,001,2022-10-23_23h30.00.994,audio-text-input,2022.2.2,Win32,60.07449237,,,,,,,,,8,,,,,,estimulos/5.wav,,,1,4,10,4,1,067
