subject,condition,target_distance,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
1,Controlled environment,1,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.12041199826559248,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.12041199826559248
2,Controlled environment,1,4.024922359499621,1.7999999999999998,16.2,5,8.2,4.024922359499621,1.7999999999999998,16.2,5,7.2,4.024922359499621,1.7999999999999998,16.2,5,7.2,4.024922359499621,1.7999999999999998,16.2,5,0.44721359549995793,0.19999999999999998,0.2,5,0.8,0.44721359549995793,0.19999999999999998,0.2,5,0.8
3,Controlled environment,1,0.27386127875258304,0.12247448713915889,0.075,5,1.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.27386127875258304,0.12247448713915889,0.075,5,0.09097733387559329,0.040686300591504194,0.008276875279111173,5,0.15426236517066763,0.09097733387559329,0.040686300591504194,0.008276875279111173,5,0.15426236517066763
4,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.06020599913279624,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.06020599913279624
5,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.06020599913279624,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.06020599913279624
6,Controlled environment,1,0,0,0,5,0.5,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5,0,0,0,5,-0.3010299956639812,0,0,0,5,0.3010299956639812
7,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.22201344345556867,0.09928743029709147,0.04928996907499898,5,0.15563025007672873,0.22201344345556867,0.09928743029709147,0.04928996907499898,5,0.15563025007672873
8,Controlled environment,1,1,0.44721359549995793,1,5,1.5,1,0.44721359549995793,1,5,0.5,0.8366600265340756,0.3741657386773941,0.7,5,0.7,0.8366600265340756,0.3741657386773941,0.7,5,0.3013942061251033,0.1347875865840629,0.09083846748578127,5,0.09542425094393249,0.20973577181777864,0.09379668861958752,0.04398909397999931,5,0.21583624920952496
9,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,0.4,0.8944271909999159,0.39999999999999997,0.8,5,-0.6,0,0,0,5,1,0,0,0,5,NA,NA,NA,5,-Inf,NA,NA,NA,5,Inf
10,Controlled environment,1,0.27386127875258304,0.12247448713915889,0.075,5,0.7,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,-0.1806179973983887,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.1806179973983887
