"subject","trial","target_distance","perc_distance","condition"
1,1,5,4,"Controlled environment"
1,2,3,3,"Controlled environment"
1,3,6,4,"Controlled environment"
1,4,1,2,"Controlled environment"
1,5,2,4,"Controlled environment"
1,6,4,5,"Controlled environment"
1,7,3,4,"Controlled environment"
1,8,6,5,"Controlled environment"
1,9,5,4,"Controlled environment"
1,10,1,1,"Controlled environment"
1,11,2,3,"Controlled environment"
1,12,4,4,"Controlled environment"
1,13,4,3,"Controlled environment"
1,14,2,2,"Controlled environment"
1,15,6,5,"Controlled environment"
1,16,5,4,"Controlled environment"
1,17,3,3,"Controlled environment"
1,18,1,1,"Controlled environment"
1,19,2,3,"Controlled environment"
1,20,6,5,"Controlled environment"
1,21,4,4,"Controlled environment"
1,22,1,2,"Controlled environment"
1,23,3,4,"Controlled environment"
1,24,5,4,"Controlled environment"
1,25,4,4,"Controlled environment"
1,26,3,3,"Controlled environment"
1,27,1,1,"Controlled environment"
1,28,6,5,"Controlled environment"
1,29,5,5,"Controlled environment"
1,30,2,3,"Controlled environment"
2,1,1,1,"Controlled environment"
2,2,3,15,"Controlled environment"
2,3,4,20,"Controlled environment"
2,4,5,25,"Controlled environment"
2,5,2,20,"Controlled environment"
2,6,6,30,"Controlled environment"
2,7,4,35,"Controlled environment"
2,8,3,25,"Controlled environment"
2,9,1,10,"Controlled environment"
2,10,6,40,"Controlled environment"
2,11,5,35,"Controlled environment"
2,12,2,15,"Controlled environment"
2,13,1,10,"Controlled environment"
2,14,4,30,"Controlled environment"
2,15,6,35,"Controlled environment"
2,16,3,30,"Controlled environment"
2,17,5,40,"Controlled environment"
2,18,2,30,"Controlled environment"
2,19,4,45,"Controlled environment"
2,20,1,10,"Controlled environment"
2,21,5,45,"Controlled environment"
2,22,6,30,"Controlled environment"
2,23,3,20,"Controlled environment"
2,24,2,20,"Controlled environment"
2,25,3,30,"Controlled environment"
2,26,5,35,"Controlled environment"
2,27,4,40,"Controlled environment"
2,28,2,15,"Controlled environment"
2,29,6,5,"Controlled environment"
