participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,,,,,,,,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,return,2.6545,,,,,,,,,,,,,,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,return,6.0445,,,,,,,,,,,,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,return,7.3438,,,,,,,,,,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,return,10.9502,,,,,,,,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,5,0,0,0,4,1,estimulos/5.wav,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,3,0,1,1,2,1,estimulos/3.wav,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,2,0,2,2,0,1,estimulos/1.wav,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,3,0,3,3,1,1,estimulos/2.wav,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,5,0,4,4,5,1,estimulos/6.wav,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,5,0,5,5,3,1,estimulos/4.wav,,,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,,,,,,,,return,2.7609,,,,,,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,6,,,,,,estimulos/2.wav,,,0,0,0,1,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,8,,,,,,estimulos/3.wav,,,0,1,1,2,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/6.wav,,,0,2,2,5,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/4.wav,,,0,3,3,3,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,12,,,,,,estimulos/5.wav,,,0,4,4,4,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,3,,,,,,estimulos/1.wav,,,0,5,5,0,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,9,,,,,,estimulos/5.wav,,,1,0,6,4,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,13,,,,,,estimulos/6.wav,,,1,1,7,5,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,7,,,,,,estimulos/2.wav,,,1,2,8,1,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/4.wav,,,1,3,9,3,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,3,,,,,,estimulos/1.wav,,,1,4,10,0,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/3.wav,,,1,5,11,2,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,12,,,,,,estimulos/4.wav,,,2,0,12,3,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,5,,,,,,estimulos/1.wav,,,2,1,13,0,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,13,,,,,,estimulos/6.wav,,,2,2,14,5,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,8,,,,,,estimulos/3.wav,,,2,3,15,2,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,6,,,,,,estimulos/2.wav,,,2,4,16,1,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/5.wav,,,2,5,17,4,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,14,,,,,,estimulos/6.wav,,,3,0,18,5,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/4.wav,,,3,1,19,3,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,8,,,,,,estimulos/2.wav,,,3,2,20,1,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,12,,,,,,estimulos/5.wav,,,3,3,21,4,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,5,,,,,,estimulos/1.wav,,,3,4,22,0,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/3.wav,,,3,5,23,2,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,8,,,,,,estimulos/3.wav,,,4,0,24,2,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,5,,,,,,estimulos/1.wav,,,4,1,25,0,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,14,,,,,,estimulos/6.wav,,,4,2,26,5,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,10,,,,,,estimulos/2.wav,,,4,3,27,1,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,14,,,,,,estimulos/5.wav,,,4,4,28,4,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,9,,,,,,estimulos/4.wav,,,4,5,29,3,1,045
ibañez simonetti,001,2024-11-26_07h48.53.710,audio-text-input,2022.2.2,Win32,50.25125628,,,,,,,,,,,,,,,,,,,,,,,045
