subject,room_condition,target_distance,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
1,Unknown environment,1,2.23606797749979,1,5,5,2,2.23606797749979,1,5,5,1,2.23606797749979,1,5,5,1,2.23606797749979,1,5,5
2,Unknown environment,1,0.28809720581775866,0.12884098726725124,0.083,5,0.54,0.28809720581775866,0.12884098726725124,0.083,5,-0.46,0.28809720581775866,0.12884098726725124,0.083,5,0.46,0.28809720581775866,0.12884098726725124,0.083,5
3,Unknown environment,1,0.3535533905932738,0.15811388300841897,0.125,5,1,0.3535533905932738,0.15811388300841897,0.125,5,0,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5
4,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5
6,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,3.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5
9,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
10,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.8,0.44721359549995793,0.19999999999999998,0.2,5,0.8,0.44721359549995793,0.19999999999999998,0.2,5,0.8,0.44721359549995793,0.19999999999999998,0.2,5
11,Unknown environment,1,1,0.44721359549995793,1,5,4,1,0.44721359549995793,1,5,3,1,0.44721359549995793,1,5,3,1,0.44721359549995793,1,5
12,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
13,Unknown environment,1,0.8944271909999159,0.39999999999999997,0.8,5,5.4,0.8944271909999159,0.39999999999999997,0.8,5,4.4,0.8944271909999159,0.39999999999999997,0.8,5,4.4,0.8944271909999159,0.39999999999999997,0.8,5
14,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
15,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,3.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5
16,Unknown environment,1,0.8944271909999159,0.39999999999999997,0.8,5,2.6,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5
18,Unknown environment,1,0.8366600265340756,0.3741657386773941,0.7,5,1.8,0.8366600265340756,0.3741657386773941,0.7,5,0.8,0.8366600265340756,0.3741657386773941,0.7,5,0.8,0.8366600265340756,0.3741657386773941,0.7,5
19,Unknown environment,1,0.7071067811865476,0.31622776601683794,0.5,5,6,0.7071067811865476,0.31622776601683794,0.5,5,5,0.7071067811865476,0.31622776601683794,0.5,5,5,0.7071067811865476,0.31622776601683794,0.5,5
20,Unknown environment,1,0,0,0,5,1.5,0,0,0,5,0.5,0,0,0,5,0.5,0,0,0,5
21,Unknown environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.22360679774997896,0.09999999999999999,0.05,5,-0.4,0.22360679774997896,0.09999999999999999,0.05,5,0.4,0.22360679774997896,0.09999999999999999,0.05,5
22,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5
23,Unknown environment,1,1.4832396974191326,0.6633249580710799,2.2,5,6.2,1.4832396974191326,0.6633249580710799,2.2,5,5.2,1.4832396974191326,0.6633249580710799,2.2,5,5.2,1.4832396974191326,0.6633249580710799,2.2,5
24,Unknown environment,1,0.6123724356957945,0.27386127875258304,0.375,5,1,0.6123724356957945,0.27386127875258304,0.375,5,0,0.4183300132670378,0.18708286933869706,0.175,5,0.4,0.4183300132670378,0.18708286933869706,0.175,5
25,Unknown environment,1,0.10954451150103325,0.04898979485566357,0.012000000000000007,5,0.68,0.10954451150103325,0.04898979485566357,0.012000000000000007,5,-0.32,0.10954451150103325,0.04898979485566357,0.012000000000000007,5,0.32,0.10954451150103325,0.04898979485566357,0.012000000000000007,5
26,Unknown environment,1,1.7320508075688772,0.7745966692414833,3,5,2,1.7320508075688772,0.7745966692414833,3,5,1,1.7320508075688772,0.7745966692414833,3,5,1,1.7320508075688772,0.7745966692414833,3,5
