"","Trial","Dist_fis","Respuesta","Sujeto","Bloque"
"1",1,4,7,"S001","INDVIRTUAL"
"2",2,2,4,"S001","INDVIRTUAL"
"3",3,1,2,"S001","INDVIRTUAL"
"4",4,3,5,"S001","INDVIRTUAL"
"5",5,6,6,"S001","INDVIRTUAL"
"6",6,5,6,"S001","INDVIRTUAL"
"7",7,5,6,"S001","INDVIRTUAL"
"8",8,1,2,"S001","INDVIRTUAL"
"9",9,4,7,"S001","INDVIRTUAL"
"10",10,6,7,"S001","INDVIRTUAL"
"11",11,3,5,"S001","INDVIRTUAL"
"12",12,2,4,"S001","INDVIRTUAL"
"13",13,5,7,"S001","INDVIRTUAL"
"14",14,4,7,"S001","INDVIRTUAL"
"15",15,3,5,"S001","INDVIRTUAL"
"16",16,1,2,"S001","INDVIRTUAL"
"17",17,2,5,"S001","INDVIRTUAL"
"18",18,6,8,"S001","INDVIRTUAL"
"19",19,2,5,"S001","INDVIRTUAL"
"20",20,5,7,"S001","INDVIRTUAL"
"21",21,1,2,"S001","INDVIRTUAL"
"22",22,3,5,"S001","INDVIRTUAL"
"23",23,6,7,"S001","INDVIRTUAL"
"24",24,4,6,"S001","INDVIRTUAL"
"25",1,6,6,"S001","REAL"
"26",2,5,6,"S001","REAL"
"27",3,2,5,"S001","REAL"
"28",4,4,6,"S001","REAL"
"29",5,3,7,"S001","REAL"
"30",6,1,3,"S001","REAL"
"31",7,5,9,"S001","REAL"
"32",8,3,10,"S001","REAL"
"33",9,1,2,"S001","REAL"
"34",10,4,9,"S001","REAL"
"35",11,6,10,"S001","REAL"
"36",12,2,5,"S001","REAL"
"37",13,1,2,"S001","REAL"
"38",14,2,5,"S001","REAL"
"39",15,6,8,"S001","REAL"
"40",16,3,7,"S001","REAL"
"41",17,4,7,"S001","REAL"
"42",18,5,7,"S001","REAL"
"43",19,1,1.5,"S001","REAL"
"44",20,2,5,"S001","REAL"
"45",21,5,7,"S001","REAL"
"46",22,3,6,"S001","REAL"
"47",23,6,8,"S001","REAL"
"48",24,4,7,"S001","REAL"
"49",1,2,1.5,"S001","SIMULADO"
"50",2,3,2,"S001","SIMULADO"
"51",3,6,4,"S001","SIMULADO"
"52",4,4,1.5,"S001","SIMULADO"
"53",5,5,3,"S001","SIMULADO"
"54",6,1,1,"S001","SIMULADO"
"55",7,3,2.5,"S001","SIMULADO"
"56",8,1,1.5,"S001","SIMULADO"
"57",9,4,1.5,"S001","SIMULADO"
"58",10,6,4,"S001","SIMULADO"
"59",11,5,3,"S001","SIMULADO"
"60",12,2,2,"S001","SIMULADO"
"61",13,3,3,"S001","SIMULADO"
"62",14,4,2,"S001","SIMULADO"
"63",15,5,4,"S001","SIMULADO"
"64",16,2,2,"S001","SIMULADO"
"65",17,6,4,"S001","SIMULADO"
"66",18,1,1.5,"S001","SIMULADO"
"67",19,5,2.5,"S001","SIMULADO"
"68",20,6,4,"S001","SIMULADO"
"69",21,3,3,"S001","SIMULADO"
"70",22,2,2,"S001","SIMULADO"
"71",23,4,2,"S001","SIMULADO"
"72",24,1,1.5,"S001","SIMULADO"
"73",1,6,12,"S001","VIRTUAL"
"74",2,4,12,"S001","VIRTUAL"
"75",3,5,13,"S001","VIRTUAL"
"76",4,1,4,"S001","VIRTUAL"
