soundEstimulus,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruccion.started,instruccion.stopped,instruccion_2.started,instruccion_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,soundEst.started,soundEst.stopped,testText.started,testText.stopped,instr_2.started,instr_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruccion_3.started,instruccion_3.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,37.66724639991298,None,return,17.28973750001751,44.663061700062826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
,,,,,,,,,,,,,,,44.663061700062826,None,61.98195649986155,None,return,6.722772300010547,61.98195649986155,None,,,,,,,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
estimulos/2.wav,0,0,0,1,,,,,,,,,,,,,,,,,,,0.006644619861617684,None,73.84499270003289,None,73.84499270003289,None,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
estimulos/5.wav,0,1,1,4,,,,,,,,,,,,,,,,,,,0.013791519915685058,None,81.68689939985052,None,81.68689939985052,None,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
estimulos/1.wav,0,2,2,0,,,,,,,,,,,,,,,,,,,0.013838219922035933,None,88.3274862000253,None,88.3274862000253,None,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
estimulos/3.wav,0,3,3,2,,,,,,,,,,,,,,,,,,,0.013943720143288374,None,95.18498119991273,None,95.18498119991273,None,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
estimulos/4.wav,0,4,4,3,,,,,,,,,,,,,,,,,,,0.01387981977313757,None,103.7610410999041,None,103.7610410999041,None,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
estimulos/6.wav,0,5,5,5,,,,,,,,,,,,,,,,,,,0.013869219925254583,None,111.91992919985205,None,111.91992919985205,None,,,,,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,19.31480640009977,116.54161780001596,None,,,,,,,,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
estimulos/2.wav,,,,,0,0,0,1,,,,,,,,,,,,,,,0.00937901996076107,None,,,,,,,,,116.54161780001596,None,141.00170410005376,None,141.00170410005376,None,5,,,026,001,2022-06-24_12h50.33.951,audio-text-input,2022.1.1,59.92703281943942,
