"sujeto" "trial" "distancia" "respuesta"
"S001" 1 1 1
"S001" 2 4 4
"S001" 3 3 5.53
"S001" 4 2 2
"S001" 5 5 3
"S001" 6 6 4
"S001" 7 2 2
"S001" 8 6 5
"S001" 9 4 4
"S001" 10 3 4
"S001" 11 5 4
"S001" 12 1 6
"S001" 13 1 1
"S001" 14 5 6
"S001" 15 2 2
"S001" 16 3 3
"S001" 17 6 5
"S001" 18 4 4
"S001" 19 4 3
"S001" 20 1 1
"S001" 21 2 2
"S001" 22 6 7
"S001" 23 3 10.53
"S001" 24 5 5
"S001" 25 2 2
"S001" 26 1 1
"S001" 27 5 1
"S001" 28 6 3
"S001" 29 4 1
"S001" 30 3 1
"S002" 1 3 1
"S002" 2 4 1
"S002" 3 6 1.5
"S002" 4 1 0.5
"S002" 5 2 1
"S002" 6 5 2
"S002" 7 6 1.5
"S002" 8 2 1
"S002" 9 3 1.5
"S002" 10 4 1.5
"S002" 11 5 2
"S002" 12 1 0.5
"S002" 13 1 0.2
"S002" 14 4 1
"S002" 15 6 3
"S002" 16 3 2
"S002" 17 5 3
"S002" 18 2 2
"S002" 19 5 2
"S002" 20 1 1
"S002" 21 3 1.5
"S002" 22 4 3
"S002" 23 2 2
"S002" 24 6 3.5
"S002" 25 1 0.5
"S002" 26 4 3
"S002" 27 2 2
"S002" 28 6 4
"S002" 29 5 4
"S002" 30 3 3
"S003" 1 1 1.5
"S003" 2 3 1
"S003" 3 4 1
"S003" 4 5 0.8
"S003" 5 6 1
"S003" 6 2 1
"S003" 7 2 1
"S003" 8 4 0.8
"S003" 9 1 0.5
"S003" 10 3 1
"S003" 11 5 1
"S003" 12 6 1
"S003" 13 1 1
"S003" 14 4 1
"S003" 15 2 1
"S003" 16 5 1
"S003" 17 3 1
"S003" 18 6 1
"S003" 19 2 1
"S003" 20 6 1.2
"S003" 21 5 1.2
"S003" 22 4 1.2
"S003" 23 1 1
"S003" 24 3 1
"S003" 25 6 1
"S003" 26 2 1
"S003" 27 4 1
"S003" 28 1 1
"S003" 29 3 1
"S003" 30 5 1
"S004" 1 5 5
"S004" 2 2 4
"S004" 3 4 8
"S004" 4 6 8
"S004" 5 3 6
"S004" 6 1 3
"S004" 7 5 7
"S004" 8 1 2
"S004" 9 2 5
"S004" 10 6 8
"S004" 11 4 6
"S004" 12 3 4
"S004" 13 1 2
"S004" 14 4 7
"S004" 15 3 7
"S004" 16 6 8
"S004" 17 2 4
"S004" 18 5 5
"S004" 19 4 7
"S004" 20 5 7
"S004" 21 2 3
"S004" 22 3 6
"S004" 23 6 8
"S004" 24 1 2
"S004" 25 2 7
"S004" 26 6 8
"S004" 27 1 3
"S004" 28 4 9
"S004" 29 5 8
"S004" 30 3 7
"S005" 1 6 15
"S005" 2 3 15
"S005" 3 2 125
"S005" 4 1 1
"S005" 5 4 15
"S005" 6 5 2
"S005" 7 3 2
"S005" 8 2 22
"S005" 9 5 3
"S005" 10 4 3
"S005" 11 6 325
"S005" 12 1 15
"S005" 13 1 125
"S005" 14 5 25
"S005" 15 6 3
"S005" 16 3 3
"S005" 17 4 3
"S005" 18 2 3
"S005" 19 3 3
"S005" 20 6 32
"S005" 21 2 32
"S005" 22 5 35
"S005" 23 1 1
"S005" 24 4 25
"S005" 25 4 325
"S005" 26 3 25
"S005" 27 1 2
"S005" 28 2 3
"S005" 29 6 25
"S005" 30 5 25
"S006" 1 4 7
"S006" 2 1 4
"S006" 3 2 5
"S006" 4 5 6
"S006" 5 6 8
"S006" 6 3 5
"S006" 7 4 6
"S006" 8 1 3
"S006" 9 3 5
"S006" 10 5 6
"S006" 11 6 7
"S006" 12 2 4
"S006" 13 1 3
"S006" 14 3 5
"S006" 15 4 6
"S006" 16 5 4
"S006" 17 6 6
"S006" 18 2 4
"S006" 19 2 4
"S006" 20 5 5
"S006" 21 3 4
"S006" 22 1 3
"S006" 23 4 5
"S006" 24 6 6
"S006" 25 2 5
"S006" 26 6 6
"S006" 27 4 6
"S006" 28 3 5
"S006" 29 1 4
"S006" 30 5 5
"S007" 1 5 5
"S007" 2 2 4
"S007" 3 1 3
"S007" 4 6 5
"S007" 5 4 48
"S007" 6 3 4
"S007" 7 2 35
"S007" 8 5 375
"S007" 9 6 49
"S007" 10 4 49
"S007" 11 1 2
"S007" 12 3 25
"S007" 13 4 3
"S007" 14 3 32
"S007" 15 2 29
"S007" 16 1 2
"S007" 17 5 25
"S007" 18 6 275
"S007" 19 4 275
"S007" 20 1 15
"S007" 21 2 25
"S007" 22 6 4
"S007" 23 3 3
"S007" 24 5 35
"S007" 25 1 14
"S007" 26 4 18
"S007" 27 5 3
"S007" 28 6 32
"S007" 29 3 29
"S007" 30 2 3
"S008" 1 5 10
"S008" 2 3 11
"S008" 3 1 7
"S008" 4 4 11
"S008" 5 6 13
"S008" 6 2 12
"S008" 7 4 13
"S008" 8 6 14
"S008" 9 5 14
"S008" 10 1 7
"S008" 11 3 12
"S008" 12 2 10
"S008" 13 6 14
"S008" 14 3 15
"S008" 15 1 8
"S008" 16 4 11
"S008" 17 2 10
"S008" 18 5 15
"S008" 19 4 15
"S008" 20 1 6
"S008" 21 3 9
