"trial" "distancia" "respuesta" "nsub" "condicion"
1 1 1 1 "INTERNET"
2 4 4 1 "INTERNET"
3 3 5.53 1 "INTERNET"
4 2 2 1 "INTERNET"
5 5 3 1 "INTERNET"
6 6 4 1 "INTERNET"
7 2 2 1 "INTERNET"
8 6 5 1 "INTERNET"
9 4 4 1 "INTERNET"
10 3 4 1 "INTERNET"
11 5 4 1 "INTERNET"
12 1 6 1 "INTERNET"
13 1 1 1 "INTERNET"
14 5 6 1 "INTERNET"
15 2 2 1 "INTERNET"
16 3 3 1 "INTERNET"
17 6 5 1 "INTERNET"
18 4 4 1 "INTERNET"
19 4 3 1 "INTERNET"
20 1 1 1 "INTERNET"
21 2 2 1 "INTERNET"
22 6 7 1 "INTERNET"
23 3 10.53 1 "INTERNET"
24 5 5 1 "INTERNET"
25 2 2 1 "INTERNET"
26 1 1 1 "INTERNET"
27 5 1 1 "INTERNET"
28 6 3 1 "INTERNET"
29 4 1 1 "INTERNET"
30 3 1 1 "INTERNET"
1 3 1 2 "INTERNET"
2 4 1 2 "INTERNET"
3 6 1.5 2 "INTERNET"
4 1 0.5 2 "INTERNET"
5 2 1 2 "INTERNET"
6 5 2 2 "INTERNET"
7 6 1.5 2 "INTERNET"
8 2 1 2 "INTERNET"
9 3 1.5 2 "INTERNET"
10 4 1.5 2 "INTERNET"
11 5 2 2 "INTERNET"
12 1 0.5 2 "INTERNET"
13 1 0.2 2 "INTERNET"
14 4 1 2 "INTERNET"
15 6 3 2 "INTERNET"
16 3 2 2 "INTERNET"
17 5 3 2 "INTERNET"
18 2 2 2 "INTERNET"
19 5 2 2 "INTERNET"
20 1 1 2 "INTERNET"
21 3 1.5 2 "INTERNET"
22 4 3 2 "INTERNET"
23 2 2 2 "INTERNET"
24 6 3.5 2 "INTERNET"
25 1 0.5 2 "INTERNET"
26 4 3 2 "INTERNET"
27 2 2 2 "INTERNET"
28 6 4 2 "INTERNET"
29 5 4 2 "INTERNET"
30 3 3 2 "INTERNET"
1 1 1.5 3 "INTERNET"
2 3 1 3 "INTERNET"
3 4 1 3 "INTERNET"
4 5 0.8 3 "INTERNET"
5 6 1 3 "INTERNET"
6 2 1 3 "INTERNET"
7 2 1 3 "INTERNET"
8 4 0.8 3 "INTERNET"
9 1 0.5 3 "INTERNET"
10 3 1 3 "INTERNET"
11 5 1 3 "INTERNET"
12 6 1 3 "INTERNET"
13 1 1 3 "INTERNET"
14 4 1 3 "INTERNET"
15 2 1 3 "INTERNET"
16 5 1 3 "INTERNET"
17 3 1 3 "INTERNET"
18 6 1 3 "INTERNET"
19 2 1 3 "INTERNET"
20 6 1.2 3 "INTERNET"
21 5 1.2 3 "INTERNET"
22 4 1.2 3 "INTERNET"
23 1 1 3 "INTERNET"
24 3 1 3 "INTERNET"
25 6 1 3 "INTERNET"
26 2 1 3 "INTERNET"
27 4 1 3 "INTERNET"
28 1 1 3 "INTERNET"
29 3 1 3 "INTERNET"
30 5 1 3 "INTERNET"
1 5 5 4 "INTERNET"
2 2 4 4 "INTERNET"
3 4 8 4 "INTERNET"
4 6 8 4 "INTERNET"
5 3 6 4 "INTERNET"
6 1 3 4 "INTERNET"
7 5 7 4 "INTERNET"
8 1 2 4 "INTERNET"
9 2 5 4 "INTERNET"
10 6 8 4 "INTERNET"
11 4 6 4 "INTERNET"
12 3 4 4 "INTERNET"
13 1 2 4 "INTERNET"
14 4 7 4 "INTERNET"
15 3 7 4 "INTERNET"
16 6 8 4 "INTERNET"
17 2 4 4 "INTERNET"
18 5 5 4 "INTERNET"
19 4 7 4 "INTERNET"
20 5 7 4 "INTERNET"
21 2 3 4 "INTERNET"
22 3 6 4 "INTERNET"
23 6 8 4 "INTERNET"
24 1 2 4 "INTERNET"
25 2 7 4 "INTERNET"
26 6 8 4 "INTERNET"
27 1 3 4 "INTERNET"
28 4 9 4 "INTERNET"
29 5 8 4 "INTERNET"
30 3 7 4 "INTERNET"
1 6 15 5 "INTERNET"
2 3 15 5 "INTERNET"
3 2 125 5 "INTERNET"
4 1 1 5 "INTERNET"
5 4 15 5 "INTERNET"
6 5 2 5 "INTERNET"
7 3 2 5 "INTERNET"
8 2 22 5 "INTERNET"
9 5 3 5 "INTERNET"
10 4 3 5 "INTERNET"
11 6 325 5 "INTERNET"
12 1 15 5 "INTERNET"
13 1 125 5 "INTERNET"
14 5 25 5 "INTERNET"
15 6 3 5 "INTERNET"
16 3 3 5 "INTERNET"
17 4 3 5 "INTERNET"
18 2 3 5 "INTERNET"
19 3 3 5 "INTERNET"
20 6 32 5 "INTERNET"
21 2 32 5 "INTERNET"
22 5 35 5 "INTERNET"
23 1 1 5 "INTERNET"
24 4 25 5 "INTERNET"
25 4 325 5 "INTERNET"
26 3 25 5 "INTERNET"
27 1 2 5 "INTERNET"
28 2 3 5 "INTERNET"
29 6 25 5 "INTERNET"
30 5 25 5 "INTERNET"
1 4 7 6 "INTERNET"
2 1 4 6 "INTERNET"
3 2 5 6 "INTERNET"
4 5 6 6 "INTERNET"
5 6 8 6 "INTERNET"
6 3 5 6 "INTERNET"
7 4 6 6 "INTERNET"
8 1 3 6 "INTERNET"
9 3 5 6 "INTERNET"
10 5 6 6 "INTERNET"
11 6 7 6 "INTERNET"
12 2 4 6 "INTERNET"
13 1 3 6 "INTERNET"
14 3 5 6 "INTERNET"
15 4 6 6 "INTERNET"
16 5 4 6 "INTERNET"
17 6 6 6 "INTERNET"
18 2 4 6 "INTERNET"
19 2 4 6 "INTERNET"
20 5 5 6 "INTERNET"
21 3 4 6 "INTERNET"
22 1 3 6 "INTERNET"
23 4 5 6 "INTERNET"
24 6 6 6 "INTERNET"
25 2 5 6 "INTERNET"
26 6 6 6 "INTERNET"
27 4 6 6 "INTERNET"
28 3 5 6 "INTERNET"
29 1 4 6 "INTERNET"
30 5 5 6 "INTERNET"
1 5 5 7 "INTERNET"
2 2 4 7 "INTERNET"
3 1 3 7 "INTERNET"
4 6 5 7 "INTERNET"
5 4 48 7 "INTERNET"
6 3 4 7 "INTERNET"
7 2 35 7 "INTERNET"
8 5 375 7 "INTERNET"
9 6 49 7 "INTERNET"
10 4 49 7 "INTERNET"
11 1 2 7 "INTERNET"
12 3 25 7 "INTERNET"
13 4 3 7 "INTERNET"
14 3 32 7 "INTERNET"
15 2 29 7 "INTERNET"
16 1 2 7 "INTERNET"
