"trial" "distancia" "respuesta" "nsub" "condicion" "SesgoAbs" "SesgoRel"
1 1 1 1 "INTERNET" 0 0
2 4 4 1 "INTERNET" 0 0
3 3 5.53 1 "INTERNET" 2.53 0.843333333333333
4 2 2 1 "INTERNET" 0 0
5 5 3 1 "INTERNET" -2 -0.4
6 6 4 1 "INTERNET" -2 -0.333333333333333
7 2 2 1 "INTERNET" 0 0
8 6 5 1 "INTERNET" -1 -0.166666666666667
9 4 4 1 "INTERNET" 0 0
10 3 4 1 "INTERNET" 1 0.333333333333333
11 5 4 1 "INTERNET" -1 -0.2
12 1 6 1 "INTERNET" 5 5
13 1 1 1 "INTERNET" 0 0
14 5 6 1 "INTERNET" 1 0.2
15 2 2 1 "INTERNET" 0 0
16 3 3 1 "INTERNET" 0 0
17 6 5 1 "INTERNET" -1 -0.166666666666667
18 4 4 1 "INTERNET" 0 0
19 4 3 1 "INTERNET" -1 -0.25
20 1 1 1 "INTERNET" 0 0
21 2 2 1 "INTERNET" 0 0
22 6 7 1 "INTERNET" 1 0.166666666666667
23 3 10.53 1 "INTERNET" 7.53 2.51
24 5 5 1 "INTERNET" 0 0
25 2 2 1 "INTERNET" 0 0
26 1 1 1 "INTERNET" 0 0
27 5 1 1 "INTERNET" -4 -0.8
28 6 3 1 "INTERNET" -3 -0.5
29 4 1 1 "INTERNET" -3 -0.75
30 3 1 1 "INTERNET" -2 -0.666666666666667
1 3 1 2 "INTERNET" -2 -0.666666666666667
2 4 1 2 "INTERNET" -3 -0.75
3 6 1.5 2 "INTERNET" -4.5 -0.75
4 1 0.5 2 "INTERNET" -0.5 -0.5
5 2 1 2 "INTERNET" -1 -0.5
6 5 2 2 "INTERNET" -3 -0.6
7 6 1.5 2 "INTERNET" -4.5 -0.75
8 2 1 2 "INTERNET" -1 -0.5
9 3 1.5 2 "INTERNET" -1.5 -0.5
10 4 1.5 2 "INTERNET" -2.5 -0.625
11 5 2 2 "INTERNET" -3 -0.6
12 1 0.5 2 "INTERNET" -0.5 -0.5
13 1 0.2 2 "INTERNET" -0.8 -0.8
14 4 1 2 "INTERNET" -3 -0.75
15 6 3 2 "INTERNET" -3 -0.5
16 3 2 2 "INTERNET" -1 -0.333333333333333
17 5 3 2 "INTERNET" -2 -0.4
18 2 2 2 "INTERNET" 0 0
19 5 2 2 "INTERNET" -3 -0.6
20 1 1 2 "INTERNET" 0 0
21 3 1.5 2 "INTERNET" -1.5 -0.5
22 4 3 2 "INTERNET" -1 -0.25
23 2 2 2 "INTERNET" 0 0
24 6 3.5 2 "INTERNET" -2.5 -0.416666666666667
25 1 0.5 2 "INTERNET" -0.5 -0.5
26 4 3 2 "INTERNET" -1 -0.25
27 2 2 2 "INTERNET" 0 0
28 6 4 2 "INTERNET" -2 -0.333333333333333
29 5 4 2 "INTERNET" -1 -0.2
30 3 3 2 "INTERNET" 0 0
1 1 1.5 3 "INTERNET" 0.5 0.5
2 3 1 3 "INTERNET" -2 -0.666666666666667
3 4 1 3 "INTERNET" -3 -0.75
4 5 0.8 3 "INTERNET" -4.2 -0.84
5 6 1 3 "INTERNET" -5 -0.833333333333333
6 2 1 3 "INTERNET" -1 -0.5
7 2 1 3 "INTERNET" -1 -0.5
8 4 0.8 3 "INTERNET" -3.2 -0.8
9 1 0.5 3 "INTERNET" -0.5 -0.5
10 3 1 3 "INTERNET" -2 -0.666666666666667
