soundEstimulus,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruccion.started,instruccion.stopped,instruccion_2.started,instruccion_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,soundEst.started,soundEst.stopped,testText.started,testText.stopped,instr_2.started,instr_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruccion_3.started,instruccion_3.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.546147299930453,None,return,9.623674400150776,16.545299699995667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
,,,,,,,,,,,,,,,16.545299699995667,None,26.189177100080997,None,return,8.681383999995887,26.189177100080997,None,,,,,,,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
estimulos/1.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,0.008202820084989071,None,40.03776229987852,None,40.03776229987852,None,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
estimulos/2.wav,0,1,1,1,,,,,,,,,,,,,,,,,,,0.01370422006584704,None,55.454557300079614,None,55.454557300079614,None,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
estimulos/3.wav,0,2,2,2,,,,,,,,,,,,,,,,,,,0.013683120021596551,None,64.46446350007318,None,64.46446350007318,None,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
estimulos/5.wav,0,3,3,4,,,,,,,,,,,,,,,,,,,0.013847019989043474,None,75.35963259986602,None,75.35963259986602,None,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
estimulos/6.wav,0,4,4,5,,,,,,,,,,,,,,,,,,,0.013771020108833909,None,82.35063020000234,None,82.35063020000234,None,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
estimulos/4.wav,0,5,5,3,,,,,,,,,,,,,,,,,,,0.013821520144119859,None,89.74202540004626,None,89.74202540004626,None,,,,,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.806852400070056,98.80189589993097,None,,,,,,,,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
estimulos/3.wav,,,,,0,0,0,2,,,,,,,,,,,,,,,0.009225819958373904,None,,,,,,,,,98.80189589993097,None,110.76505529996939,None,110.76505529996939,None,4,,,004,001,2022-06-23_14h04.23.912,audio-text-input,2022.1.1,59.983720364162636,
