soundEstimulus,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruccion.started,instruccion.stopped,instruccion_2.started,instruccion_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,soundEst.started,soundEst.stopped,testText.started,testText.stopped,instr_2.started,instr_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruccion_3.started,instruccion_3.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.159426199970767,None,return,10.178818500135094,16.166114900028333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
,,,,,,,,,,,,,,,16.166114900028333,None,26.377268600044772,None,return,12.368264900054783,26.377268600044772,None,,,,,,,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/5.wav,0,0,0,4,,,,,,,,,,,,,,,,,,,0.00842227996326983,None,43.89660119987093,None,43.89660119987093,None,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/2.wav,0,1,1,1,,,,,,,,,,,,,,,,,,,0.013715580105781555,None,59.63045119983144,None,59.63045119983144,None,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/4.wav,0,2,2,3,,,,,,,,,,,,,,,,,,,0.013901979895308614,None,66.73821979993954,None,66.73821979993954,None,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/6.wav,0,3,3,5,,,,,,,,,,,,,,,,,,,0.013832279946655035,None,72.8449263998773,None,72.8449263998773,None,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/1.wav,0,4,4,0,,,,,,,,,,,,,,,,,,,0.013908179942518473,None,78.80141389998607,None,78.80141389998607,None,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/3.wav,0,5,5,2,,,,,,,,,,,,,,,,,,,0.013884580228477716,None,102.09352270001546,None,102.09352270001546,None,,,,,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.076387400040403,102.8943177999463,None,,,,,,,,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/6.wav,,,,,0,0,0,5,,,,,,,,,,,,,,,0.009344379883259535,None,,,,,,,,,102.8943177999463,None,111.13677840004675,None,111.13677840004675,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/4.wav,,,,,0,1,1,3,,,,,,,,,,,,,,,0.013666680082678795,None,,,,,,,,,,,118.16112549998797,None,118.16112549998797,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/1.wav,,,,,0,2,2,0,,,,,,,,,,,,,,,0.013808279763907194,None,,,,,,,,,,,124.31783930002712,None,124.31783930002712,None,1,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/2.wav,,,,,0,3,3,1,,,,,,,,,,,,,,,0.013996479799970984,None,,,,,,,,,,,130.49125829990953,None,130.49125829990953,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/3.wav,,,,,0,4,4,2,,,,,,,,,,,,,,,0.013805979862809181,None,,,,,,,,,,,136.73132459982298,None,136.73132459982298,None,3,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/5.wav,,,,,0,5,5,4,,,,,,,,,,,,,,,0.013788480078801513,None,,,,,,,,,,,142.53769419994205,None,142.53769419994205,None,3,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/1.wav,,,,,1,0,6,0,,,,,,,,,,,,,,,0.013643380021676421,None,,,,,,,,,,,148.46091959998012,None,148.46091959998012,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/2.wav,,,,,1,1,7,1,,,,,,,,,,,,,,,0.013790680095553398,None,,,,,,,,,,,154.35060280002654,None,154.35060280002654,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/4.wav,,,,,1,2,8,3,,,,,,,,,,,,,,,0.013826980022713542,None,,,,,,,,,,,160.54080489999615,None,160.54080489999615,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/3.wav,,,,,1,3,9,2,,,,,,,,,,,,,,,0.013841880019754171,None,,,,,,,,,,,166.9810456999112,None,166.9810456999112,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/6.wav,,,,,1,4,10,5,,,,,,,,,,,,,,,0.013793879887089133,None,,,,,,,,,,,172.90427549998276,None,172.90427549998276,None,3,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/5.wav,,,,,1,5,11,4,,,,,,,,,,,,,,,0.013792179990559816,None,,,,,,,,,,,178.84410250000656,None,178.84410250000656,None,3,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/6.wav,,,,,2,0,12,5,,,,,,,,,,,,,,,0.01378097990527749,None,,,,,,,,,,,184.73380609997548,None,184.73380609997548,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/5.wav,,,,,2,1,13,4,,,,,,,,,,,,,,,0.01387867983430624,None,,,,,,,,,,,190.75705719995312,None,190.75705719995312,None,2,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/3.wav,,,,,2,2,14,2,,,,,,,,,,,,,,,0.013794879894703627,None,,,,,,,,,,,196.84711609990336,None,196.84711609990336,None,3,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
estimulos/1.wav,,,,,2,3,15,0,,,,,,,,,,,,,,,0.013856380013749003,None,,,,,,,,,,,202.7705295998603,None,202.7705295998603,None,1,,,005,001,2022-06-23_14h48.13.851,audio-text-input,2022.1.1,59.94283852053997,
